"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","Entry Date","Last Update"
"2000-0038-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Agusan del Sur, Agusan del Norte, Surigao del Sur districts (Region XIII province), Davao Oriental, Davao del Norte, Compostela districts (Region XI province)","Brief torrential rain","Slide (land, mud, snow, rock)","No","No","No","","16700","Km2","","","","2000","1","28","2000","2","1","50","","153885","","153885","4080","7219","2004-10-27","2023-09-25"
"2000-0066-PHL","No","nat-hyd-flo-coa","Natural","Hydrological","Flood","Coastal flood","","","PHL","Philippines","South-eastern Asia","Asia","Tawi-Tawi district (ARMM province)","","","No","No","No","","3","Km2","","","","2000","1","22","2000","1","22","","","","5250","5250","","","2003-07-01","2023-09-25"
"2000-0082-IDN","No","nat-hyd-mmw-mud","Natural","Hydrological","Mass movement (wet)","Mudslide","","","IDN","Indonesia","South-eastern Asia","Asia","Brebes district (Jawa Tengah province)","Heavy rains","","No","No","No","","","","","","","2000","2","22","2000","2","24","34","","","","","11600","20526","2005-07-21","2023-09-25"
"2000-0089-PHL","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Mayon","PHL","Philippines","South-eastern Asia","Asia","Legazpi City area (Albay district, Region V (Bicol region) province)","","","Yes","No","No","647","","","13.257","123.685","","2000","2","24","2000","3","9","","","68426","","68426","2214","3918","2005-06-01","2023-09-25"
"2000-0108-IDN","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Dengue fever","IDN","Indonesia","South-eastern Asia","Asia","Jakarta","","","No","No","No","","","Vaccinated","","","","2000","1","","2000","1","","10","","1516","","1516","","","2003-07-01","2023-09-25"
"2000-0117-IDN","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire","","","IDN","Indonesia","South-eastern Asia","Asia","Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ","","","No","No","No","","","Km2","","","","2000","2","","2000","2","","","","","","","","","2003-07-01","2023-09-25"
"2000-0159-MYS","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","","","MYS","Malaysia","South-eastern Asia","Asia","Sarawak","","","No","No","No","","","Vaccinated","","","","2000","1","","2000","1","","2","","480","","480","","","2003-07-01","2023-09-25"
"2000-0230-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)","","Tsunami/Tidal wave","No","No","No","215","7.6","Moment Magnitude","-1.105","123.573","","2000","5","4","2000","5","4","45","270","","52500","52770","30000","53084","2005-07-09","2023-09-25"
"2000-0257-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Biring","PHL","Philippines","South-eastern Asia","Asia","National Capital region (NCR), Region III (Central Luzon) provinces","","Flood","No","No","No","","","Kph","","","","2000","5","18","2000","5","18","12","4","235885","","235889","1201","2125","2004-10-26","2023-09-25"
"2000-0258-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","IDN","Indonesia","South-eastern Asia","Asia","Malaka Tengah, Malaka Barat areas (Belu district, Nusatenggara Timur province)","Heavy rain","","Yes","No","Yes","100","11400","Km2","","","Beneneai river","2000","5","16","2000","5","24","126","","50000","","50000","79000","139788","2005-02-09","2023-09-25"
"2000-0293-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Enggano island (Bengkulu Utara district, Bengkulu province)","","Slide (land, mud, snow, rock)","Yes","No","No","5031","6.7","Moment Magnitude","-4.646","102.102","","2000","6","4","2000","6","4","103","2714","200000","2000","204714","41000","72548","2003-09-09","2023-09-25"
"2000-0320-IDN","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","","IDN","Indonesia","South-eastern Asia","Asia","Ngada district (Flores Isl.)","","","No","No","No","","","Vaccinated","","","","2000","5","","2000","5","","15","","203","","203","","","2003-07-01","2023-09-25"
"2000-0361-VNM","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","VNM","Viet Nam","South-eastern Asia","Asia","Binh Hoa, Giao Ha villages (Giao Thuy district, Nam Dinh province)","","","No","No","No","","","Kph","","","","2000","6","12","2000","6","12","3","29","","100","129","","","2003-07-01","2023-09-25"
"2000-0392-LAO","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","","Acute diarrhoeal syndrome","LAO","Lao People's Democratic Republic","South-eastern Asia","Asia","Houaphanh","","","No","No","No","","","Vaccinated","","","","2000","6","","2000","6","","44","","","","","","","2003-07-01","2023-09-25"
"2000-0396-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Kirogi","PHL","Philippines","South-eastern Asia","Asia","National Capital region (NCR) province","","","No","No","No","","185","Kph","","","","2000","7","5","2000","7","5","11","","","120000","120000","7500","13271","2003-07-01","2023-09-25"
"2000-0397-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Kai-Tak (Edeng)","PHL","Philippines","South-eastern Asia","Asia","Caloocan, Manioma, Quezon cities (Metropolitan Manila district, National Capital region (NCR) province), Mindoro Oriental district (Region IV (Southern Tagalog) province), Cavite, Rizal districts (Region IV-A (Calabarzon) province), Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Region I (Ilocos region), Region III (Central Luzon) provinces","","","No","No","No","29","200","Kph","","","","2000","7","7","2000","7","7","75","11","1483310","","1483321","25763","45587","2008-01-03","2023-09-25"
"2000-0401-THA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","","","THA","Thailand","South-eastern Asia","Asia","Muang Chiang Rai, Mae Chan districts (Chiang Rai province)","","","No","No","No","","","Km2","","","","2000","6","21","2000","6","21","","","2500","","2500","","","2003-07-01","2023-09-25"
"2000-0408-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces","","","Yes","No","No","9402","1400","Km2","","","","2000","7","","2000","11","","460","4","5000000","","5000004","250000","442366","2006-09-17","2023-09-25"
"2000-0414-PHL","No","nat-hyd-mmw-sub","Natural","Hydrological","Mass movement (wet)","Sudden Subsidence (wet)","","Garbage","PHL","Philippines","South-eastern Asia","Asia","Metropolitan Manila district (National Capital region (NCR) province)","Rain triggered by Typhoon Kai-Tak","","No","No","No","","","","","","","2000","7","10","2000","7","10","287","38","2800","","2838","","","2005-04-24","2023-09-25"
"2000-0438-KHM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","KHM","Cambodia","South-eastern Asia","Asia","Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces","Monsoonal rain","","Yes","No","No","18970","638","Km2","","","","2000","7","11","2000","8","10","347","53","3448000","","3448053","160000","283114","2005-09-15","2023-09-25"
"2000-0439-VNM","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","VNM","Viet Nam","South-eastern Asia","Asia","Ban Sai village (Sa Pa district, Lao Cai province)","","","No","No","No","","","","","","","2000","7","22","2000","7","22","33","22","","","22","","","2003-07-01","2023-09-25"
"2000-0446-THA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","","","THA","Thailand","South-eastern Asia","Asia","Phan, Muang Chiang Rai, Khun Tan districts (Chiang Ria province), Loei, Udon Thani, Nakhon Phanom, Sakon Nakhon, Kalasin, Maha Sarakham, Roi Et, Surin, Buriram, Si Saket, Yasothon, Amnat Charoen, Ubon Ratchathani provinces","","","No","No","No","","2050","Km2","","","","2000","7","","2000","7","","47","","2500000","","2500000","51050","90331","2003-07-01","2023-09-25"
"2000-0448-VNM","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","VNM","Viet Nam","South-eastern Asia","Asia","Can Tho city province","","","No","No","No","","","Kph","","","","2000","7","10","2000","7","10","","","2005","","2005","","","2003-07-01","2023-09-25"
"2000-0449-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Ciranggon village (Karawang district, Jawa Barat province)","","","No","No","No","","5.4","Moment Magnitude","-6.675","106.845","","2000","7","12","2000","7","12","","124","","4000","4124","2000","3539","2005-04-17","2023-09-25"
"2000-0460-THA","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease","","","THA","Thailand","South-eastern Asia","Asia","Northern, North-eastern regions","","","No","No","No","","","","","","","2000","1","","2000","1","","89","","1946","","1946","","","2003-07-01","2023-09-25"
"2000-0469-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Banggai city (Banggai Kepulauan district, Sulawesi Tengah province)","","","No","No","No","","","","","","","2000","6","24","2000","6","24","","","","520","520","","","2003-07-01","2023-09-25"
"2000-0518-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Kaemi","VNM","Viet Nam","South-eastern Asia","Asia","Quang Binh, Quang Tri, Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh, Da Nang City provinces","","","No","No","No","","","Kph","","","","2000","8","20","2000","8","20","15","4","","","4","5000","8847","2003-07-01","2023-09-25"
"2000-0539-THA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Kaemi","THA","Thailand","South-eastern Asia","Asia","Tha Tum, Chom Phra, Samrong Thap, Sikhoraphum, Sangkha, Muang Surin districts (Surin province), Ubon Ratchathani province","","","No","No","No","","","Kph","","","","2000","8","21","2000","8","21","2","","41219","","41219","","","2003-07-01","2023-09-25"
"2000-0540-VNM","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","VNM","Viet Nam","South-eastern Asia","Asia","My Tho City, Go Cong Township districts (Tien Giang province)","","","No","No","No","","","Kph","","","","2000","8","24","2000","8","24","","100","","5630","5730","","","2003-07-01","2023-09-25"
"2000-0541-VNM","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","VNM","Viet Nam","South-eastern Asia","Asia","Rach Gia Township district (Kien Giang province)","","","No","No","No","","","Kph","","","","2000","8","24","2000","8","24","","3","500","","503","35","62","2003-07-01","2023-09-25"
"2000-0542-VNM","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado","","","VNM","Viet Nam","South-eastern Asia","Asia","Khanh Binh Tay village (Tran Van Thoi district, Ca Mau province)","","","No","No","No","","","Kph","","","","2000","8","24","2000","8","24","","4","","130","134","","","2003-07-01","2023-09-25"
"2000-0582-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Wukong","VNM","Viet Nam","South-eastern Asia","Asia","Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)","","","No","No","No","","120","Kph","","","","2000","9","10","2000","9","10","5","29","","6000","6029","21000","37159","2003-07-01","2023-09-25"
"2000-0583-LAO","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","","","LAO","Lao People's Democratic Republic","South-eastern Asia","Asia","Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province","","","Yes","No","No","973","1104","Km2","","","","2000","9","","2000","9","","15","","450000","","450000","1000","1769","2003-07-01","2023-09-25"
"2000-0597-PHL","No","nat-hyd-flo-coa","Natural","Hydrological","Flood","Coastal flood","","Maring","PHL","Philippines","South-eastern Asia","Asia","Metropolitan Manila district (NCR province)","","Flood","No","No","No","","","Km2","","","","2000","9","4","2000","9","5","5","","6508","","6508","","","2004-10-21","2023-09-25"
"2000-0674-SGP","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Hand foot and mouth disease (enteroviral vesicular stomatitis with exanthem)","SGP","Singapore","South-eastern Asia","Asia","Singapore","","","No","No","No","","","Vaccinated","","","","2000","9","","2000","9","","2","","2022","","2022","","","2003-07-01","2023-09-25"
"2000-0680-VNM","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","VNM","Viet Nam","South-eastern Asia","Asia","Sin Ho district (Lai Chau province)","","","No","No","No","","","","","","","2000","10","3","2000","10","3","40","17","","","17","","","2003-07-01","2023-09-25"
"2000-0683-MYS","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","MYS","Malaysia","South-eastern Asia","Asia","Pulau Pinang province","","","No","No","No","","","Kph","","","","2000","9","27","2000","9","27","","","500","","500","","","2003-07-01","2023-09-25"
"2000-0694-MYS","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Hand foot and mouth disease","MYS","Malaysia","South-eastern Asia","Asia","Johor, Selangar, Penang, Kedah, Terengganu states","","","No","No","No","","","Vaccinated","","","","2000","10","","2000","10","","2","","508","","508","","","2003-07-01","2023-09-25"
"2000-0701-IDN","No","nat-hyd-mmw-mud","Natural","Hydrological","Mass movement (wet)","Mudslide","","","IDN","Indonesia","South-eastern Asia","Asia","Cilacap, Banyumas districts (Jawa Tengah province)","Heavy rains","","No","No","No","","","","","","","2000","10","29","2000","11","1","40","","54085","2125","56210","43000","76087","2005-04-24","2023-09-25"
"2000-0706-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Xangsane (Reming)","PHL","Philippines","South-eastern Asia","Asia","Cavite district (Region IV-A (Calabarzon) province), Sorsogon, Catanduanes, Albay districts (Region V (Bicol region) province), Metropolitan Manila district (National Capital region (NCR) province), Samar districts (Region VIII (Eastern Visayas) province)","","","No","No","No","","140","Kph","","","","2000","10","28","2000","10","31","154","314","2435942","","2436256","17000","30081","2004-10-20","2023-09-25"
"2000-0715-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Bebinca (Seniang)","PHL","Philippines","South-eastern Asia","Asia","Metropolitan Manila district (National Capital region (NCR) province), Rizal, Laguna districts (Region IV-A (Calabarzon) province), Cagayan, Nueva Vizcaya districts (Region II (Cagayan Valley) province)","","","No","No","No","","120","Kph","","","","2000","11","3","2000","11","5","94","","1747872","","1747872","31000","54853","2004-10-19","2023-09-25"
"2000-0721-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Purworejo, Purbalingga, Kebumen districts (Jawa Tengah province)","Heavy rains","","No","No","No","","","","","","","2000","11","5","2000","11","7","52","19","","","19","","","2005-04-24","2023-09-25"
"2000-0748-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces","","","No","No","No","","49140","Km2","","","","2000","11","18","2000","11","26","36","3","25000","","25003","15000","26542","2004-10-19","2023-09-25"
"2000-0755-THA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","THA","Thailand","South-eastern Asia","Asia","Songkhla, Nakhon Si Thammarat, Surat Thani, Satun, Phatthalung, Chumphon, Narathiwat, Yala, Pattani, Trang provinces","","","Yes","No","No","","630","Km2","","","","2000","11","21","2000","11","21","51","570","808231","","808801","57500","101744","2003-07-01","2023-09-25"
"2000-0761-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Pandeglang, Lebak, Serang districts (Banten province)","","","No","No","No","","6.8","Moment Magnitude","-6.549","105.63","","2000","10","25","2000","10","25","","","5500","","5500","","","2003-09-08","2023-09-25"
"2000-0762-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Lahat district (Sumatera Selatan province)","","","No","No","No","","6.7","Moment Magnitude","-4.612","101.905","","2000","6","7","2000","6","7","1","","3000","","3000","","","2014-02-25","2023-09-25"
"2000-0763-PHL","No","nat-geo-mmd-lan","Natural","Geophysical","Mass movement (dry)","Landslide (dry)","","","PHL","Philippines","South-eastern Asia","Asia","Apayao, Kalinga districts (Cordillera Administrative region (CAR) province)","","","No","No","No","","","","","","","2000","11","8","2000","11","8","11","","","","","","","2014-07-11","2023-09-25"
"2000-0770-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces","","","Yes","No","No","1106","300","Km2","","","","2000","11","28","2000","12","4","100","21","386000","","386021","34000","60162","2005-04-24","2023-09-25"
"2000-0774-MYS","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","MYS","Malaysia","South-eastern Asia","Asia","Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)","Brief torrential rain","","No","No","No","","","Km2","","","Sungai Bata, Sungai Kampung Telok Malik, Sungai Pantai Johor, Sungai Baru, Sungai Golok, Sungai Padang Terap.","2000","11","21","2000","12","1","12","","8000","","8000","1000","1769","2005-09-14","2023-09-25"
"2000-0777-THA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","THA","Thailand","South-eastern Asia","Asia","Wang Pong, Chon Daen districts (Phetchabun province)","","","No","No","No","","","Km2","","","","2000","9","","2000","9","","9","","12500","","12500","506","895","2010-11-15","2023-09-25"
"2000-0783-PHL","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","","Acute diarrhoeal syndrome","PHL","Philippines","South-eastern Asia","Asia","Zamboanga","","","No","No","No","","","Vaccinated","","","","2000","11","18","2000","11","18","1","","664","","664","","","2003-07-01","2023-09-25"
"2000-0788-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Rumbia (Toyang)","PHL","Philippines","South-eastern Asia","Asia","Autonomous region in Muslim Mindanao (ARMM), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces Central Philippines","","","No","No","No","","135","Kph","","","","2000","11","30","2000","12","3","48","26","164067","","164093","1000","1769","2004-10-18","2023-09-25"
"2000-0791-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","IDN","Indonesia","South-eastern Asia","Asia","Taliwan area (Sumbawa Barat district, Nusatenggara Barat province), Lunyuk area (Sumbawa district, Nusatenggara Barat province), Kulonprogo district (Daerah Istimewa Yogyakarta province), Bolaangmongondow, Minahasa, Kota Bitung, Kota Manado districts (Sulawesi Utara province) ","Brief torrential rain","Slide (land, mud, snow, rock)","No","No","No","","590","Km2","","","","2000","12","3","2000","12","6","38","","39852","","39852","","","2004-10-18","2023-09-25"
"2000-0857-LAO","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","","","LAO","Lao People's Democratic Republic","South-eastern Asia","Asia","Savannakhet, Kham Muane, Savannakhet provinces","","","No","No","No","","","Vaccinated","","","","2000","1","","2000","1","","","","9685","","9685","","","2003-07-01","2023-09-25"
"2001-0041-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Cipanas village (Lebak district, Banten province)","","","No","No","No","","","","","","","2001","2","8","2001","2","12","122","","","23000","23000","10000","17208","2005-12-15","2023-09-25"
"2001-0046-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Sangihe chains (Kepulauan-sangihe district, Sulawesi Utara province)","","","No","No","No","","","","","","","2001","1","22","2001","1","22","63","","","","","","","2003-07-01","2023-09-25"
"2001-0051-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","IDN","Indonesia","South-eastern Asia","Asia","Bogor district (Jawa Barat province), Bojonegoro, Jember, Kota Jember districts (Jawa Timur province), Kota Gorontalo district (Gorontalo province), Lebak, Pandeglang, Tangerang districts (Banten province), Dki Jakarta province","Brief torrential rain","Slide (land, mud, snow, rock)","No","No","No","","","Km2","","","Cilemer and Ciujung rivers, Manyang river, Bengawan Solo River, Bone and Bolango rivers, Rejang River","2001","2","4","2001","2","18","130","","80000","","80000","10000","17208","2005-09-16","2023-09-25"
"2001-0054-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Auring","PHL","Philippines","South-eastern Asia","Asia","Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces","","","No","No","No","","45","Kph","","","","2001","2","17","2001","2","17","55","84","","100000","100084","6000","10325","2003-07-01","2023-09-25"
"2001-0059-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Silay City area (Negros Occidental district, Region VI province)","Heavy rain","","No","No","No","","845","Km2","","","Balugo River and tributaries","2001","1","15","2001","1","15","2","","12000","","12000","","","2005-09-16","2023-09-25"
"2001-0176-THA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","THA","Thailand","South-eastern Asia","Asia","Phrae, Sukhothai, Lampang provinces","Brief torrential rain","Slide (land, mud, snow, rock)","No","No","No","","19750","Km2","","","","2001","5","4","2001","5","5","83","30","","4100","4130","4000","6883","2005-09-19","2023-09-25"
"2001-0187-THA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","","","THA","Thailand","South-eastern Asia","Asia","Pathiu district (Chumphon province), Muang, Bang Saphan, Bang Saphan Noi, Hua Hin, Kui Buri, Pran Buri districts (Prachuap Khirikhan province), Si Satchnalai district (Sukhothai province), Laplae district (Uttaradit province), Khanom, Pak Phanang district (Nakhon Si Thamarat province)","","","No","No","No","","","Km2","","","","2001","3","11","2001","3","11","2","","6000","","6000","","","2003-07-01","2023-09-25"
"2001-0297-PHL","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Mayon","PHL","Philippines","South-eastern Asia","Asia","Daraga, Bacacay, Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)","","","No","Yes","No","247","","","13.257","123.685","","2001","5","24","2001","5","24","","","25576","","25576","792","1363","2014-07-28","2023-09-25"
"2001-0318-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Durian","VNM","Viet Nam","South-eastern Asia","Asia","Thai Nguyen, Tuyen Quang, Vinh Phuc provinces","","","No","No","No","","","Kph","","","","2001","7","4","2001","7","4","30","3","117450","","117453","25000","43021","2003-07-01","2023-09-25"
"2001-0319-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Utor (Feria)","PHL","Philippines","South-eastern Asia","Asia","Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region VIII (Eastern Visayas), Cordillera Administrative region (CAR), National Capital region (NCR) provinces","","","No","No","No","","140","Kph","","","","2001","7","","2001","7","","232","241","1902413","","1902654","68565","117989","2003-07-01","2023-09-25"
"2001-0320-TLS","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","TLS","Timor-Leste","South-eastern Asia","Asia","Lospalos, Iliomar, Luro, Tutuala districts (Lautem province)","Heavy rain","","No","No","No","5","370","Km2","","","","2001","6","20","2001","6","23","1","","2508","","2508","","","2005-09-20","2023-09-25"
"2001-0357-THA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","","","THA","Thailand","South-eastern Asia","Asia","Muang Satun, Langu, Tha Phae, Khuan Don districts (Satun province)","","","No","No","No","","","Kph","","","","2001","6","27","2001","6","27","","","150","","150","","","2003-07-01","2023-09-25"
"2001-0361-VNM","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","","","VNM","Viet Nam","South-eastern Asia","Asia","Tien Yen, Dong Trieu, Hoanh Bo districts (Quang Ninh province)","","","No","No","No","","","Km2","","","","2001","6","30","2001","6","30","9","","175","","175","","","2003-07-01","2023-09-25"
"2001-0407-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Nias, Nias Selatan districts (Sumatera Utara province)","Heavy rain","Slide (land, mud, snow, rock)","Yes","No","No","50","1270","Km2","","","","2001","7","31","2001","8","1","257","4","","3690","3694","","","2008-04-15","2023-09-25"
"2001-0436-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Usagi","VNM","Viet Nam","South-eastern Asia","Asia","Ha Tinh, Nghe An, Quang Binh, Thanh Hoa provinces","","","No","No","No","","196","Kph","","","","2001","8","11","2001","8","11","3","3","","10000","10003","3200","5507","2003-07-01","2023-09-25"
"2001-0445-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Zamboanga del Sur, Zamboanga del Norte, Zamboanga Sibugay districts (Region IX province), Maguindanao district (ARMM province), Sultan Kudarat, North Cotabato districts (Region XII province), Misamis Occidental district (Region X province),","Brief torrential rain","","No","No","No","","31880","Km2","","","","2001","8","12","2001","8","14","37","","79000","","79000","8000","13767","2004-10-29","2023-09-25"
"2001-0450-THA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","THA","Thailand","South-eastern Asia","Asia","Nam Kor village (Lom Sak District, Phetchabun Province), Udon Thani, Chiang Mai, Chiang Rai, Lamphun, Nong Khai, Phrae, Nan provinces","Brief torrential rain","","Yes","No","No","25","4160","Km2","","","","2001","8","8","2001","9","6","104","109","450000","","450109","24500","42160","2006-01-02","2023-09-25"
"2001-0461-PHL","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Mayon","PHL","Philippines","South-eastern Asia","Asia","Legazpi City area (Albay district, Region V (Bicol region) province)","","","No","No","No","","","","","","","2001","7","25","2001","7","25","","","57645","","57645","1788","3077","2014-07-28","2023-09-25"
"2001-0479-THA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","THA","Thailand","South-eastern Asia","Asia","Ranong province","","","No","No","No","","","Km2","","","","2001","6","27","2001","6","27","","","1000","","1000","","","2003-07-01","2023-09-25"
